,cum_infections,cum_infectious,cum_tests,cum_diagnoses,cum_recoveries,cum_symptomatic,cum_severe,cum_critical,cum_deaths,cum_quarantined,new_infections,new_infectious,new_tests,new_diagnoses,new_recoveries,new_symptomatic,new_severe,new_critical,new_deaths,new_quarantined,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_diagnosed,n_quarantined,prevalence,incidence,r_eff,doubling_time,test_yield,t
170,84060.16052003566,83857.9498198219,211892.40589739065,9305.21437377023,82857.56562716755,56238.53308473832,3920.410008031244,1104.7104892038246,613.6351102380697,9490.524543513335,62.60611452842413,54.31783459085498,2214.30278832093,15.540524882942162,37.44526471794635,25.160849810477785,4.73615996432523,0.0,0.0,298.3780777524895,2140812.0,680.5269848739814,463.4036515094467,292.75388779485326,37.593269716831514,3.2561099754735956,9194.514545743008,3909.404040552707,0.0003025373203665437,2.925142483332876e-05,1.1736383636702126,30.0,0.007115551095094019,170
171,84112.25827964321,83903.97937447518,214232.0689197673,9333.483328557297,82917.9516667127,56264.87797453989,3923.518113007832,1106.3385441915611,613.6351102380697,9923.143155254667,52.09775960757753,46.02955465328583,2339.6630223766633,28.268954787066217,60.38603954514669,26.344889801559088,3.1081049765884323,1.6280549877367978,0.0,432.61861174133276,2140744.0,672.2387049364123,449.04716661758596,274.1052579353227,34.485164740243086,3.2561099754735956,9222.783500530073,4078.869764276219,0.0002988528765276112,2.4334174648201694e-05,1.2635320093944755,30.0,0.011647921250519699,171
172,84167.3161392285,83953.41304410281,216484.70500279948,9358.496173368889,82975.96962627568,56302.32323925783,3923.518113007832,1106.3385441915611,613.6351102380697,10041.399149363913,55.0578595852808,49.43366962764459,2252.6360830321873,25.012844811592622,58.01795956298406,37.44526471794636,0.0,0.0,0.0,118.2559941092456,2140672.0,669.278604958709,440.4628766822463,270.8491479598491,31.37705976365465,3.2561099754735956,9238.324025413018,3996.430979897183,0.00029753710335163525,2.573101687918423e-05,1.2838764593570704,30.0,0.011130429516595321,172
173,84237.02649370341,84004.03075372153,218785.14670047158,9376.55278323288,83030.7314758632,56340.508528970204,3923.518113007832,1106.3385441915611,613.6351102380697,10287.087447513284,69.71035447491198,50.6177096187259,2300.4416976720954,18.05660986398994,54.76184958751047,38.18528971237217,0.0,0.0,0.0,245.68829814937126,2140580.0,684.2271098461106,436.3187367134618,273.06922294312653,29.749004775917854,1.6280549877367978,9266.592980200083,4032.100184628507,0.0003041828464898807,3.257408297292252e-05,1.2892733505260907,30.0,0.007907010296409963,173
174,84286.60816832996,84058.3485883124,221190.5239423533,9392.981338109134,83076.90903551536,56376.4737436993,3925.146167995569,1106.3385441915611,613.6351102380697,10710.529749323738,49.58167462652976,54.31783459085498,2405.377241881676,16.42855487625314,46.177559652170984,35.96521472909471,1.6280549877367978,0.0,0.0,423.4423018104526,2140516.0,687.6312248204692,444.4590116521458,277.95338790633696,31.37705976365465,1.6280549877367978,9291.605825011675,4079.75779426953,0.00030569643383424733,2.3167375740269248e-05,1.26946609799119,30.0,0.006740992854324284,174
175,84354.838472816,84110.1503379222,223410.30291563296,9412.221987964203,83134.48298008168,56422.35529335371,3926.6262179844207,1106.3385441915611,613.6351102380697,11011.423912057275,68.23030448606033,51.8017496098072,2219.778973279681,19.240649855071247,57.57394456632858,45.88154965440067,1.4800499888516343,0.0,0.0,300.89416273353726,2140428.0,698.287584740201,438.6868166956245,288.75775282495385,31.37705976365465,1.6280549877367978,9309.662434875665,4068.2134043564865,0.00031043385834055227,3.188940467692922e-05,1.2299085730752661,30.0,0.008629501736591699,175
176,84404.7161574403,84183.56081736923,225851.49736724485,9435.754782786946,83176.22038976729,56455.95242810063,3928.106267973272,1106.3385441915611,613.6351102380697,11452.626813733947,49.87768462430008,73.41047944704107,2441.1944516118856,23.53279482274099,41.737409685616086,33.5971347469321,1.4800499888516343,0.0,0.0,441.2029016766722,2140364.0,706.427859678885,470.35988645704936,294.2339377837049,31.37705976365465,1.6280549877367978,9326.09098975192,4275.716412793487,0.0003140525759270632,2.3305558152374242e-05,1.2000069010631402,30.0,0.009533897427614114,176
177,84466.4342419754,84227.51830203814,228226.53358435506,9460.323612601884,83210.40954450976,56490.733602838634,3931.0663679509757,1106.3385441915611,613.6351102380697,11782.67796124786,61.71808453511314,43.95748466889354,2375.036217110218,24.56882981493713,34.18915474247275,34.781174738013405,2.9600999777032686,0.0,0.0,330.0511475139145,2140284.0,733.9567894715256,480.1282163834702,306.962367687829,32.85710975250628,1.6280549877367978,9345.33163960699,4306.945467558256,0.00032629094956779144,2.8837546393505248e-05,1.1821854048376852,30.0,0.010289340752885368,177
178,84517.05195159414,84269.10770672486,230485.08986734264,9492.58870235885,83255.55106916974,56533.95106251311,3932.5464179398273,1107.818594180413,615.2631652258065,12075.5798540416,50.6177096187259,41.58940468673093,2258.556282987594,32.26508975696563,45.14152465997485,43.217459674467726,1.4800499888516343,1.4800499888516343,1.6280549877367978,292.90189279373845,2140218.0,737.8049194425398,474.9480414224895,321.9108725752305,31.229054764769483,1.4800499888516343,9368.86443442973,4419.72527670875,0.0003280019847456316,2.366106272066755e-05,1.2032254925412276,30.0,0.014252568280770187,178
179,84586.31829107238,84317.94935635696,232830.8210946736,9518.193567165983,83315.49309371824,56556.74383234142,3935.6545229164158,1107.818594180413,615.2631652258065,12342.432867031548,69.2663394782565,48.84164963210394,2345.7312273309553,25.604864807133275,59.94202454849119,22.79276982831517,3.1081049765884323,0.0,0.0,266.85301298994966,2140128.0,747.1292343723051,463.8476665061022,302.96623271792953,29.749004775917854,1.4800499888516343,9393.433264244668,4202.45393834533,0.0003321474925474108,3.237028819217856e-05,1.229794427961312,30.0,0.010719167706416132,179
