age,cum_negative,cum_diagnoses,cum_deaths,cum_tests,yield
0,3012,124,1.0,3136,0.039540816326530615
10,3539,254,0.0,3793,0.06696546269443712
20,13969,1167,5.0,15136,0.0771009513742072
30,21683,1327,5.0,23010,0.05767057800956106
40,17926,1323,13.0,19249,0.06873084316068367
50,17397,1409,36.0,18806,0.07492289694778262
60,14379,1135,76.0,15514,0.0731597266984659
70,7987,674,137.0,8661,0.07782011315090637
80,3427,507,161.0,3934,0.12887646161667515
90,1350,319,141.0,1669,0.19113241461953265
