,cum_infections,cum_infectious,cum_tests,cum_diagnoses,cum_recoveries,cum_symptomatic,cum_severe,cum_critical,cum_deaths,cum_quarantined,new_infections,new_infectious,new_tests,new_diagnoses,new_recoveries,new_symptomatic,new_severe,new_critical,new_deaths,new_quarantined,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_diagnosed,n_quarantined,prevalence,incidence,r_eff,doubling_time,test_yield,t
237,97158.91147210794,96246.39013965291,378276.0657280253,15236.96128672813,93872.99630067684,64355.26624743054,4478.979471500626,1292.3661364754112,732.069945407369,90416.84893359186,166.33393794710207,210.99444636070015,2477.810888336075,74.7262438871302,193.34929039361097,143.45828531941123,9.849732675807626,1.7908604865104778,0.0,1273.1538009100645,2142214.0,2618.6169240754643,1723.7046983163236,1128.1607037522142,100.44063239343848,15.222314135339058,15237.363283625706,16829.53889953276,0.001164214445690597,7.772677108846719e-05,0.8402596131274087,30.0,0.028371512506214065,237
238,97329.01580334363,96469.47512256487,380752.8389597024,15325.008272171024,94075.38927981452,64474.12762833173,4486.710225057458,1292.3661364754112,735.8307524290412,92004.70217948781,170.10433123571224,223.0849829119637,2476.7732316771144,88.04698544289514,202.39297913769497,118.86138090117711,7.730753556833529,0.0,3.7608070216720035,1587.8532458959503,2142372.0,2584.4221164423466,1744.0726830282013,1105.4055976016502,95.94987726349689,11.521614043344007,15318.062661186254,17218.34072519819,0.0011490144931612946,7.94748841080987e-05,0.857982498436419,30.0,0.03451135059730679,238
239,97511.78331962918,96651.91784828233,383349.3377524729,15394.053593581726,94281.43683218495,64620.473537525875,4490.680171592619,1296.3360830105728,735.8307524290412,93320.12960168255,182.76751628552228,182.44272571744995,2596.498792770485,69.0453214106995,206.0475523704266,146.34590919415194,3.969946535161526,3.969946535161526,0.0,1315.4274221947348,2142180.0,2561.1420803574424,1720.4678563752248,1117.1606070781713,95.97993072833538,13.521614043344007,15406.109646629146,17087.585171967385,0.0011386644062813763,8.53980577523264e-05,0.9209295468332594,30.0,0.02570382240409106,239
240,97704.81066509223,96828.18852023664,385727.626855187,15481.68229999764,94473.37235322129,64730.54115916796,4494.650118127781,1300.3060295457344,735.8307524290412,94382.37846800574,193.02734546304637,176.27067195432957,2378.289102714133,87.62870641591608,191.93552103633527,110.0676216420912,3.969946535161526,3.969946535161526,0.0,1062.2488663232166,2141976.0,2562.2339047841533,1704.803007293219,1099.1791499533558,90.42826322015289,17.49156057850553,15475.154968039846,17126.46229106791,0.0011391497604491476,9.020669220163714e-05,0.9951110823462953,30.0,0.03643163918957174,240
241,97910.91708965194,97007.75435858603,388164.24184417014,15576.420138975072,94649.34372526761,64853.34243313946,4500.620064662942,1300.3060295457344,737.8006989642026,95687.6624316217,206.10642455972373,179.5658383493793,2436.6149889831113,94.73783897743193,175.97137204632463,122.80127397150015,5.969946535161526,0.0,1.9699465351615255,1305.2839636159515,2141758.0,2590.399010762391,1706.427527061112,1094.8349579264673,92.6374027336424,15.521614043344007,15562.783674455763,17449.856350925602,0.0011516737247945436,9.633976180952189e-05,1.0638519241440492,30.0,0.03803120025677138,241
242,98133.94728075249,97228.05546016195,390705.28865078546,15657.3963123472,94837.91769300718,64973.922198424196,4517.4726961113265,1302.3060295457344,739.591559450713,96756.56889541255,223.03019110055408,220.30110157591616,2541.0468066152935,80.97617337212826,188.5739677395742,120.57976528472507,16.852631448383068,2.0,1.7908604865104778,1068.906463790844,2141864.0,2625.7605179428742,1738.1912834131247,1095.6567182880528,104.26895478706622,15.790860486510478,15651.808763899175,17198.076217327194,0.001167395991412756,0.00010423525634772833,1.0997370901986727,30.0,0.03029668917965745,242
243,98345.28828235071,97423.72334565225,393126.05245442723,15751.745067178863,95011.3880340743,65116.828847601,4528.743606586689,1302.3060295457344,739.591559450713,98111.97909678065,211.34100159821293,195.66788549029673,2420.763803641835,94.34875483165969,173.47034106710896,142.9066491768089,11.270910475362111,0.0,0.0,1355.4102013680938,2141644.0,2663.6311784739783,1760.3888278363127,1117.5492497587325,102.47809430055574,13.790860486510478,15732.7849372713,17290.673514286842,0.0011842331980290663,9.87849542713968e-05,1.1118901560874086,30.0,0.036004478505503874,243
244,98542.8879628867,97583.69756333607,395572.3302946689,15841.155592972395,95217.87640422412,65254.147978259636,4534.743606586689,1304.0968900322448,739.591559450713,99485.66536972197,197.59968053600505,159.97421768383236,2446.2778402416043,89.41052579353227,206.48837014982988,137.31913065863705,6.0,1.7908604865104778,0.0,1373.6862729413385,2141434.0,2654.7424888601536,1713.8746753703151,1113.8761336508164,100.68723381404526,15.581720973020955,15827.133692102962,17459.45487441082,0.0011802811230240595,9.236763575963473e-05,1.1280026663129308,30.0,0.03529543126641917,244
245,98729.81068545794,97774.71747858734,398064.9272423958,15937.73535825712,95391.10993729302,65391.478704008565,4536.22365657554,1304.0968900322448,743.591559450713,100618.64065174115,186.92272257123386,191.01991525127997,2492.596947726996,96.57976528472507,173.2335330688927,137.33072574893882,1.4800499888516343,0.0,4.0,1132.9752820191584,2141238.0,2664.4316783624945,1727.6610575527022,1144.6547625997569,96.16728380289689,9.581720973020955,15916.544217896493,17315.40985963713,0.001184592875676933,8.73791462470935e-05,1.1281929542341693,30.0,0.03859614148830851,245
246,98923.3550290245,97961.87121161164,400443.6183164328,16017.355023564141,95575.20189935544,65505.205837844915,4538.014517062051,1306.0968900322448,743.591559450713,101993.63648545886,193.54434356655153,187.15373302429924,2378.6910740369285,79.61966530702179,184.09196206242666,113.727133836342,1.7908604865104778,2.0,0.0,1374.9958337177065,2141036.0,2673.8840598666193,1730.722828514575,1112.306007768097,86.47809430055574,11.581720973020955,16013.123983181222,17636.409315882847,0.001188795393110449,9.048716786950519e-05,1.15396746287207,30.0,0.03141827208628425,246
247,99127.93927261335,98179.6246946917,403083.3889819551,16098.749475963248,95763.7977380346,65626.2141580059,4547.494567050902,1306.0968900322448,745.591559450713,103292.05500698792,204.58424358884827,217.75348308004104,2639.7706655223114,81.3944523991073,188.59583867915003,121.0083201609782,9.480049988851635,0.0,2.0,1298.418521529072,2140824.0,2687.872464776318,1757.880472915466,1106.1129416490326,92.16728380289689,9.581720973020955,16092.74364848824,17835.078590133904,0.0011950164183420788,9.567007004168496e-05,1.286228736270166,30.0,0.02967351348175884,247
248,99387.96750802561,98389.2127801374,405569.73695966613,16178.91096222099,95975.60076053893,65758.57898623198,4557.076288023923,1308.0968900322448,747.591559450713,104497.92015882247,260.02823541225814,209.58808544570326,2486.3479777109465,80.161486257746,211.80302250434366,132.36482822608465,9.581720973020955,2.0,2.0,1205.8651518345373,2140550.0,2734.097677684232,1753.6655358568255,1107.6727916824777,94.47809430055574,7.790860486510478,16174.138100887349,17778.951889147065,0.0012155697940697868,0.00012161198501044913,1.3885118886729029,30.0,0.031172607889122305,248
249,99572.24094111679,98592.67732365934,408107.2541768682,16264.739767041503,96146.84588869812,65915.08342977623,4568.4488694834545,1308.0968900322448,747.591559450713,105626.14952560907,184.27343309118945,203.4645435219581,2537.517217202139,85.82880482051132,171.24512815919445,156.5044435442548,11.372581459531434,0.0,0.0,1128.2293667865993,2140358.0,2747.125982616227,1785.8849512195895,1148.4282304508147,96.57976528472506,7.790860486510478,16254.299587145095,17618.7711704318,0.0012213621556129426,8.618871742515457e-05,1.2925336011654518,30.0,0.03265825287687885,249
250,99780.77885069093,98799.08009621943,410425.17175988085,16350.251963819206,96318.9436483057,66049.05764746005,4573.928919472306,1309.8877505187552,747.591559450713,106887.22200030826,208.53790957413244,206.40277256008554,2317.917583012625,85.51219677770159,172.09775960757753,133.97421768383236,5.4800499888516345,1.7908604865104778,0.0,1261.0724746992043,2140138.0,2783.566132582782,1820.1899641720975,1163.388330428518,94.57976528472506,9.581720973020955,16340.128391965607,17555.702468069714,0.0012375633632012964,9.757603092174223e-05,1.140222406995575,30.0,0.03581899875812885,250
251,100014.4686071208,98998.21195830416,412927.02745606535,16443.66248961274,96531.0195369737,66182.06596762105,4588.781550920689,1309.8877505187552,747.591559450713,108016.48217146944,233.68975642987257,199.1318620847234,2501.8556961845247,93.41052579353229,212.0758886680017,133.0083201609782,14.852631448383068,0.0,0.0,1129.2601711611762,2139892.0,2805.180000344653,1807.2459375888186,1150.133493347581,104.16148625774602,9.581720973020955,16425.640588743307,17392.57503794262,0.0012471725282229961,0.00010933374118366531,1.0895055996209977,30.0,0.03632642114109583,251
