,cum_infections,cum_infectious,cum_tests,cum_diagnoses,cum_recoveries,cum_symptomatic,cum_severe,cum_critical,cum_deaths,cum_quarantined,new_infections,new_infectious,new_tests,new_diagnoses,new_recoveries,new_symptomatic,new_severe,new_critical,new_deaths,new_quarantined,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_diagnosed,n_quarantined,prevalence,incidence,r_eff,doubling_time,test_yield,t
0,400.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246000.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017777777777777779,0.0,2.1665175694549434,,0.0,0
1,400.4,5.6,6.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.4,5.6,1.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,2245996.0,400.4,5.6,1.8,0.0,0.0,0.0,0.0,0.00017795555555555554,1.780951829705386e-07,2.3634737121326648,,0.0,1
2,422.8,56.0,8.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,22.4,50.4,2.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,2245772.0,422.8,56.0,13.2,0.0,0.0,0.0,0.0,0.00018791111111111109,9.974364365547215e-06,2.380867620851784,,0.0,2
3,465.2,141.4,8.0,0.0,0.0,48.4,0.0,0.0,0.0,0.0,42.4,85.4,0.0,0.0,0.0,35.2,0.0,0.0,0.0,0.0,2245348.0,465.2,141.4,48.4,0.0,0.0,0.0,0.0,0.00020675555555555556,1.8883556789155995e-05,2.345829151745735,14.00267500761999,0.0,3
4,545.2,229.0,10.0,0.0,0.0,97.4,0.0,0.0,0.0,0.0,80.0,87.6,2.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,2244548.0,545.2,229.0,97.4,0.0,0.0,0.0,0.0,0.0002423111111111111,3.5641945355445435e-05,2.2561572321427463,6.758531254747837,0.0,4
5,642.8,306.0,10.0,0.0,0.0,152.0,0.2,0.0,0.0,0.0,97.6,77.0,0.0,0.0,0.0,54.6,0.2,0.0,0.0,0.0,2243572.0,642.8,306.0,152.0,0.2,0.0,0.0,0.0,0.0002856888888888889,4.3502404514745225e-05,2.1490258046878195,4.9805671365940904,0.0,5
6,737.4,374.2,11.0,0.0,0.2,204.0,0.2,0.0,0.0,0.0,94.6,68.2,1.0,0.0,0.2,52.0,0.0,0.0,0.0,0.0,2242626.0,737.2,374.0,204.0,0.2,0.0,0.0,0.0,0.00032764444444444445,4.218304316805179e-05,2.04752075200562,4.522401562930133,0.0,6
7,840.4,442.4,11.0,0.0,0.6,245.6,1.2,0.2,0.0,0.0,103.0,68.2,0.0,0.0,0.4,41.6,1.0,0.2,0.0,0.0,2241596.0,839.8,441.8,245.4,1.2,0.2,0.0,0.0,0.00037324444444444447,4.594977211977707e-05,1.970689910101297,4.822322330490638,0.0,7
8,958.8,519.2,12.0,0.0,6.2,292.2,3.0,0.6,0.0,0.0,118.4,76.8,1.0,0.0,5.6,46.6,1.8,0.4,0.0,0.0,2240412.0,952.6,513.0,289.8,3.0,0.6,0.0,0.0,0.0004233777777777778,5.284870938576752e-05,1.9165963601960747,5.2446727798610215,0.0,8
9,1075.8,602.0,13.0,0.0,24.0,346.6,4.8,0.8,0.0,0.0,117.0,82.8,1.0,0.0,17.8,54.4,1.8,0.2,0.0,0.0,2239242.0,1051.8,578.0,335.8,4.8,0.8,0.0,0.0,0.00046746666666666674,5.225160037339924e-05,1.8812887198523724,5.54864029519643,0.0,9
10,1205.2,696.4,13.0,0.0,56.0,407.4,7.6,0.8,0.0,0.0,129.4,94.4,0.0,0.0,32.0,60.8,2.8,0.0,0.0,0.0,2237948.0,1149.2,640.4,380.0,7.6,0.8,0.0,0.0,0.0005107555555555556,5.782336742290984e-05,1.869944002017662,5.827886413222678,0.0,10
11,1347.4,797.0,13.0,0.0,104.6,468.2,10.2,1.2,0.0,0.0,142.2,100.6,0.0,0.0,48.6,60.8,2.6,0.4,0.0,0.0,2236526.0,1242.8,692.4,413.0,10.2,1.2,0.0,0.0,0.0005523555555555556,6.358213756483897e-05,1.8858724504039834,6.149266961229979,0.0,11
12,1500.4,912.8,13.0,0.0,167.4,543.4,14.6,1.4,0.0,0.0,153.0,115.8,0.0,0.0,62.8,75.2,4.4,0.2,0.0,0.0,2234996.0,1333.0,745.4,450.6,14.6,1.4,0.0,0.0,0.0005924444444444445,6.845746852032884e-05,1.929086784247288,6.2643026340386765,0.0,12
13,1676.8,1022.6,13.0,0.0,239.6,614.2,17.4,2.2,0.2,0.0,176.4,109.8,0.0,0.0,72.2,70.8,2.8,0.8,0.2,0.0,2233232.0,1437.0,782.8,477.2,17.2,2.0,0.0,0.0,0.0006386667190123689,7.899190424022053e-05,1.969912144680812,6.310490035974735,0.0,13
14,1855.4,1151.0,13.0,0.0,312.6,686.8,19.4,2.6,0.2,0.0,178.6,128.4,0.0,0.0,73.0,72.6,2.0,0.4,0.0,0.0,2231446.0,1542.6,838.2,504.6,19.2,2.4,0.0,0.0,0.0006856000566123708,8.004016553135924e-05,1.9733933067895717,6.501415691729468,0.0,14
15,2048.6,1287.6,13.0,0.0,379.2,775.0,25.0,4.0,0.4,0.0,193.2,136.6,0.0,0.0,66.6,88.2,5.6,1.4,0.2,0.0,2229514.0,1669.0,908.0,547.8,24.6,3.6,0.0,0.0,0.0007417778974420285,8.666166901756932e-05,1.9652798774430646,6.691920747836688,0.0,15
16,2262.6,1445.6,13.0,0.0,448.0,868.6,30.2,4.6,0.6,0.0,214.0,158.0,0.0,0.0,68.8,93.6,5.2,0.6,0.2,0.0,2227374.0,1814.0,997.0,597.8,29.6,4.0,0.0,0.0,0.0008062224190816267,9.607806895212555e-05,1.9773322101507187,6.942454052003018,0.0,16
17,2502.8,1601.0,13.0,0.0,524.0,974.8,34.4,5.4,0.8,0.0,240.2,155.4,0.0,0.0,76.0,106.2,4.2,0.8,0.2,0.0,2224972.0,1978.0,1076.2,654.6,33.6,4.6,0.0,0.0,0.0008791114080792071,0.00010796281238084973,1.9849619362898507,6.9511458949077065,0.0,17
18,2749.0,1781.4,13.0,0.0,614.0,1082.6,38.2,6.6,0.8,0.0,246.2,180.4,0.0,0.0,90.0,107.8,3.8,1.2,0.0,0.0,2222510.0,2134.2,1166.6,703.4,37.2,5.8,0.0,0.0,0.0009485336549928038,0.00011078190456794419,1.9736371654935148,7.0683275460892165,0.0,18
19,3021.0,1971.2,13.0,0.0,708.4,1208.6,45.0,7.6,1.4,0.0,272.0,189.8,0.0,0.0,94.4,126.0,6.8,1.0,0.6,0.0,2219790.0,2311.2,1261.4,768.0,43.2,6.2,0.0,0.0,0.0010272006203264363,0.00012254491370217654,1.9685667806541858,7.206397741422656,0.0,19
20,3316.0,2170.6,13.0,0.0,807.8,1337.0,48.8,8.6,1.6,0.0,295.0,199.4,0.0,0.0,99.4,128.4,3.8,1.0,0.2,0.0,2216840.0,2506.6,1361.2,828.4,46.8,7.0,0.0,0.0,0.0011140452060451958,0.00013308427412758202,1.979548079457161,7.406639727899133,0.0,20
21,3639.8,2404.0,13.0,0.0,913.2,1481.0,54.8,9.4,1.8,0.0,323.8,233.4,0.0,0.0,105.4,144.0,6.0,0.8,0.2,0.0,2213602.0,2724.8,1489.0,905.6,51.6,7.6,0.0,0.0,0.0012110231432702495,0.00014629239417907676,1.9920586250155712,7.432197344195271,0.0,21
22,3997.4,2648.0,13.0,0.0,1032.6,1639.2,62.4,10.4,2.0,0.0,357.6,244.0,0.0,0.0,119.4,158.2,7.6,1.0,0.2,0.0,2210026.0,2962.8,1613.4,989.6,58.6,8.4,0.0,0.0,0.0013168011272308893,0.00016183082767889202,1.9865981640808026,7.445881603178563,0.0,22
23,4371.2,2909.6,13.0,0.0,1163.4,1804.6,69.0,12.4,2.6,0.0,373.8,261.6,0.0,0.0,130.8,165.4,6.6,2.0,0.6,0.0,2206288.0,3205.2,1743.6,1072.0,64.0,9.8,0.0,0.0,0.0014245349599230153,0.00016945294701607385,1.9584730166824702,7.549638054919036,0.0,23
24,4760.2,3184.8,14.0,0.0,1299.2,1976.4,75.2,13.8,3.0,0.0,389.0,275.2,1.0,0.0,135.8,171.8,6.2,1.4,0.4,0.0,2202398.0,3458.0,1882.6,1156.6,67.0,10.4,0.0,0.0,0.0015368909367732093,0.0001766586080912346,1.9369265141877086,7.775951902155413,0.0,24
25,5200.6,3502.8,15.0,0.0,1456.0,2168.2,84.4,15.8,4.0,0.0,440.4,318.0,1.0,0.0,156.8,191.8,9.2,2.0,1.0,0.0,2197994.0,3740.6,2042.8,1242.8,72.4,11.2,0.0,0.0,0.0016624918179217376,0.0002003925219047464,1.9351784455526855,7.918098134712679,0.0,25
26,5668.0,3843.6,16.0,0.2,1617.6,2376.6,95.6,17.6,5.4,0.0,467.4,340.8,1.0,0.2,161.6,208.4,11.2,1.8,1.4,0.0,2193320.0,4045.0,2220.6,1344.0,79.0,11.4,0.0,0.0,0.0017977820968807577,0.00021311713855032911,1.9281251769302643,8.007904542089344,0.2,26
27,6164.6,4206.6,17.0,0.2,1790.4,2623.6,108.6,20.0,5.8,0.0,496.6,363.0,1.0,0.0,172.8,247.0,13.0,2.4,0.4,0.0,2188354.0,4368.4,2410.4,1479.8,88.2,13.2,0.0,0.0,0.001941516140774999,0.0002269778386453394,1.913644431502115,8.050671079446165,0.0,27
28,6715.2,4602.4,19.0,0.6,1982.8,2870.6,119.0,22.4,6.4,0.0,550.6,395.8,2.0,0.4,192.4,247.0,10.4,2.4,0.6,0.0,2182848.0,4726.0,2613.2,1596.6,95.4,14.8,0.2,0.0,0.00210045041898145,0.00025229903308849477,1.900916564358535,8.139763961493674,0.2,28
29,7299.2,5012.8,20.0,0.8,2185.4,3148.0,134.4,25.0,7.0,0.0,584.0,410.4,1.0,0.2,202.6,277.4,15.4,2.6,0.6,0.0,2177008.0,5106.8,2820.4,1742.8,106.6,16.6,0.2,0.0,0.0022696959057614974,0.0002683129811210233,1.875498032655457,8.236057707399024,0.2,29
30,7899.8,5475.0,23.0,1.0,2407.8,3440.8,144.8,28.6,8.0,0.0,600.6,462.2,3.0,0.2,222.4,292.8,10.4,3.6,1.0,0.0,2171002.0,5484.0,3059.2,1886.0,110.0,18.2,0.6,0.0,0.0024373419096032144,0.0002767167377958132,1.8423345852306352,8.3930788322641,0.06666666666666667,30
31,8565.2,5962.4,27.0,1.8,2648.4,3746.8,162.4,33.8,8.8,0.0,665.4,487.4,4.0,0.8,240.6,306.0,17.6,5.2,0.8,0.0,2164348.0,5908.0,3305.2,2033.0,123.4,22.4,0.8,0.0,0.0026257879919030806,0.0003074812553699456,1.8211167857164132,8.54720089088886,0.2,31
32,9260.8,6488.0,37.0,2.0,2916.6,4085.8,175.2,39.2,10.0,0.0,695.6,525.6,10.0,0.2,268.2,339.0,12.8,5.4,1.2,0.0,2157392.0,6334.2,3561.4,2199.0,131.6,26.2,1.0,0.0,0.0028152124718416748,0.0003224956168821163,1.8065913893642942,8.738843622750544,0.02,32
33,10015.0,7034.8,62.0,4.2,3196.0,4433.2,196.4,43.2,11.0,0.0,754.2,546.8,25.0,2.2,279.4,347.4,21.2,4.0,1.0,0.0,2149850.0,6808.0,3827.8,2360.0,148.4,28.6,1.8,0.0,0.0030257925587353065,0.00035088596871742415,1.7898558191771996,8.766019026890898,0.088,33
34,10800.8,7624.2,106.0,8.8,3511.0,4805.0,213.4,48.0,12.4,0.0,785.8,589.4,44.0,4.6,315.0,371.8,17.0,4.8,1.4,0.0,2141992.0,7277.4,4100.8,2527.0,159.2,32.0,2.0,0.0,0.003234417901024686,0.00036695239711518566,1.775532714902976,8.969357239763124,0.10454545454545454,34
35,11665.14,8284.34,205.6,19.119999999999997,3844.12,5214.1,237.24,54.0,14.9,0.0,864.3400000000001,660.14,99.6,10.32,333.12,409.1,23.84,6.0,2.5,0.0,2137908.0,7818.1,4430.3,2721.66,174.5,35.14,4.36,0.0,0.003474734236322353,0.00040437651685319763,1.768679901320435,9.016449516647477,0.10355555555555554,35
